name,approximate_value,games.x,AVp16,X1,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games.y,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year,X
Hamza Abdullah,5,48,1.6666666666666698,,,,,,,,,,,,1.0,0.0,,,,,,,,,,hamza-abdullah-1,,,DB,,,,,,,,,,,,,,Career,,,Washington State,,,,,,,,3.0,3.0,,Career
Husain Abdullah,21,97,3.4639175257732004,Career,,80.0,,,,,,,,,10.0,1.0,,,,,,,,,,husain-abdullah-1,,6.0,DB,,,,,,,,,,,,0.0,,Career,133.0,11.0,Washington State,213.0,1.0,,,,,,172.0,17.2,,
Kenneth Acker,7,40,2.8,Career,,30.0,,0.0,0.0,0.0,0.0,1.0,,Jun-00,7.0,1.0,,0.0,,,17.0,,,,,kenneth-acker-1,,12.0,DB,0.0,,,,,,,,,,,1.0,,Career,125.0,4.5,SMU,155.0,2.0,,195.0,,,0.0,102.0,14.6,,
Anthony Adams,37,121,4.8925619834710705,,,,,,,,,,,,5.0,1.0,,,,,,,,,,anthony-adams-1,,6.0,DB,,,,,,,,,,,,,,Career,,,East Carolina,,1.0,,,,,,106.0,21.2,,Career
Jahleel Addae,24,96,4.0,Career,,155.0,,,,,,1.0,,,8.0,0.0,,0.0,,,,,,,,jahleel-addae-1,,6.0,DB,0.0,,,,,,,,,,,3.5,,Career,147.0,15.0,Central Michigan,302.0,1.0,,,,,0.0,74.0,9.3,,
Jude Adjei-Barimah,3,23,2.08695652173913,Career,,44.0,,,,2.0,0.0,,,11-May,5.0,0.0,,,,,14.0,,,,,jude-adjei-barimah-1,,,DB,,,,,,,,,,,,2.5,,Career,106.0,8.5,Bowling Green State,150.0,,,200.0,,,,25.0,5.0,,
Al Afalava,6,29,3.31034482758621,Career,,47.0,,0.0,0.0,3.0,1.0,1.0,,,3.0,1.0,,0.0,0.0,,3.0,,,,,al-afalava-1,,12.0,DB,0.0,,,,,,,,,,,1.0,0.0,Career,120.0,5.5,Oregon State,167.0,2.0,0.0,,,,33.0,52.0,17.3,,
Gerald Alexander,11,44,4.0,,,26.0,,,,,,,,,9.0,0.0,,,,,,,,,,gerald-alexander-1,,,DB,,,,,,,,,,,,0.0,,Career,62.0,3.0,Boise State,88.0,,,,,,,75.0,8.3,,Career
Antonio Allen,10,50,3.2,Career,,80.0,,0.0,0.0,0.0,0.0,1.0,,,4.0,2.0,,0.0,0.0,,0.0,,,,,antonio-allen-1,,18.0,DB,0.0,,,,,,,,,,,3.5,0.0,Career,118.0,20.0,South Carolina,198.0,3.0,0.0,,,,25.0,81.0,20.3,,
Asher Allen,9,36,4.0,Career,,27.0,,,,,,,,,3.0,0.0,,,,,,,,,,asher-allen-1,,,DB,,,,,,,,,,,,3.0,,Career,114.0,9.0,Georgia,141.0,,,,,,,4.0,1.3,,
